lower_tier_local_authorities_code,hhcomp_common,eth_common,value_21,value_11,value_01
E09000022,Couple/lone parent with no dependent children,Other,1471,456,237
E09000022,Couple/lone parent with no dependent children,White: British,15578,13782,13415
E09000022,Couple/lone parent with no dependent children,White: Irish,1062,961,1229
E09000022,Couple/lone parent with no dependent children,White: Other,5860,4341,2449
E09000023,Couple/lone parent with no dependent children,Asian: Bangladeshi,118,63,39
E09000023,Couple/lone parent with no dependent children,Asian: Chinese,618,507,251
E09000023,Couple/lone parent with no dependent children,Asian: Indian,597,455,355
E09000023,Couple/lone parent with no dependent children,Asian: Other,946,683,210
E09000023,Couple/lone parent with no dependent children,Asian: Pakistani,134,91,60
E09000023,Couple/lone parent with no dependent children,Black: African,2477,1376,901
E09000023,Couple/lone parent with no dependent children,Black: Caribbean,3622,2560,2479
E09000023,Couple/lone parent with no dependent children,Black: Other,716,419,160
E09000023,Couple/lone parent with no dependent children,Mixed: Other,487,273,114
E09000023,Couple/lone parent with no dependent children,Mixed: White and Asian,317,165,105
E09000023,Couple/lone parent with no dependent children,Mixed: White and Black African,181,109,63
E09000023,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,460,278,149
E09000023,Couple/lone parent with no dependent children,Other,1207,448,228
E09000023,Couple/lone parent with no dependent children,White: British,15333,13890,15965
E09000023,Couple/lone parent with no dependent children,White: Irish,856,801,960
E09000023,Couple/lone parent with no dependent children,White: Other,4498,2685,1694
E09000024,Couple/lone parent with no dependent children,Asian: Bangladeshi,147,108,96
E09000024,Couple/lone parent with no dependent children,Asian: Chinese,356,318,244
E09000024,Couple/lone parent with no dependent children,Asian: Indian,991,900,796
E09000024,Couple/lone parent with no dependent children,Asian: Other,1161,962,399
E09000024,Couple/lone parent with no dependent children,Asian: Pakistani,582,388,315
E09000024,Couple/lone parent with no dependent children,Black: African,969,545,309
E09000024,Couple/lone parent with no dependent children,Black: Caribbean,981,775,626
E09000024,Couple/lone parent with no dependent children,Black: Other,187,125,51
E09000024,Couple/lone parent with no dependent children,Mixed: Other,250,144,100
E09000024,Couple/lone parent with no dependent children,Mixed: White and Asian,180,129,133
E09000024,Couple/lone parent with no dependent children,Mixed: White and Black African,90,61,28
E09000024,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,122,90,47
E09000024,Couple/lone parent with no dependent children,Other,848,317,269
E09000024,Couple/lone parent with no dependent children,White: British,11168,11921,13544
E09000024,Couple/lone parent with no dependent children,White: Irish,683,658,861
E09000024,Couple/lone parent with no dependent children,White: Other,3524,2846,1840
E09000025,Couple/lone parent with no dependent children,Asian: Bangladeshi,1827,770,327
E09000025,Couple/lone parent with no dependent children,Asian: Chinese,771,393,170
E09000025,Couple/lone parent with no dependent children,Asian: Indian,3206,2570,1474
E09000025,Couple/lone parent with no dependent children,Asian: Other,1240,1000,313
E09000025,Couple/lone parent with no dependent children,Asian: Pakistani,1605,1075,594
E09000025,Couple/lone parent with no dependent children,Black: African,2774,1559,991
E09000025,Couple/lone parent with no dependent children,Black: Caribbean,1731,1456,1354
E09000025,Couple/lone parent with no dependent children,Black: Other,298,232,77
E09000025,Couple/lone parent with no dependent children,Mixed: Other,326,143,72
E09000025,Couple/lone parent with no dependent children,Mixed: White and Asian,190,72,82
E09000025,Couple/lone parent with no dependent children,Mixed: White and Black African,147,89,47
E09000025,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,183,108,66
