date,geography_code,c2021_acctype_6_name,c2021_depch_3_name,c2021_bedrooms_5_name,obs_value
2021,E09000006,A caravan or other mobile or temporary structure,Aged 10 to 18 years,2 bedrooms,29
2021,E09000006,A caravan or other mobile or temporary structure,Aged 10 to 18 years,3 bedrooms,18
2021,E09000006,A caravan or other mobile or temporary structure,Aged 10 to 18 years,4 or more bedrooms,10
2021,E09000007,Whole house or bungalow,Aged 0 to 9 years,1 bedroom,21
2021,E09000007,Whole house or bungalow,Aged 0 to 9 years,2 bedrooms,186
2021,E09000007,Whole house or bungalow,Aged 0 to 9 years,3 bedrooms,966
2021,E09000007,Whole house or bungalow,Aged 0 to 9 years,4 or more bedrooms,2581
2021,E09000007,Whole house or bungalow,Aged 10 to 18 years,1 bedroom,3
2021,E09000007,Whole house or bungalow,Aged 10 to 18 years,2 bedrooms,132
2021,E09000007,Whole house or bungalow,Aged 10 to 18 years,3 bedrooms,991
2021,E09000007,Whole house or bungalow,Aged 10 to 18 years,4 or more bedrooms,3532
2021,E09000007,Whole house or bungalow: Detached,Aged 0 to 9 years,1 bedroom,1
2021,E09000007,Whole house or bungalow: Detached,Aged 0 to 9 years,2 bedrooms,35
2021,E09000007,Whole house or bungalow: Detached,Aged 0 to 9 years,3 bedrooms,90
2021,E09000007,Whole house or bungalow: Detached,Aged 0 to 9 years,4 or more bedrooms,338
2021,E09000007,Whole house or bungalow: Detached,Aged 10 to 18 years,1 bedroom,3
2021,E09000007,Whole house or bungalow: Detached,Aged 10 to 18 years,2 bedrooms,18
2021,E09000007,Whole house or bungalow: Detached,Aged 10 to 18 years,3 bedrooms,108
2021,E09000007,Whole house or bungalow: Detached,Aged 10 to 18 years,4 or more bedrooms,546
2021,E09000007,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,1 bedroom,9
2021,E09000007,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,2 bedrooms,34
